"","Mean","SD","Skewness","Kurtosis","10% Q","25% Q","50% Q","75% Q","90% Q"
"plus0",2.83888614408711,0.907043915764284,-0.202121960969381,3.8749004786491,1.8217668902439,2.34615960365854,2.85473018292683,3.38778795731707,3.84836213414634
"plus1",2.86584291786105,0.802371582289656,-0.306020203983034,4.49229944582535,2.01354774390244,2.48846676829268,2.89312042682927,3.2984699695122,3.72458518292683
"plus2",2.93141972889722,0.747962322759553,-0.223478780039194,4.47965338633046,2.15577390243902,2.59599115853659,2.94337012195122,3.3243443597561,3.72269457317073
"plus3",2.9917791433161,0.743699369593497,-0.0719332577695663,4.58189431197133,2.21837390243902,2.63911204268293,2.99822134146341,3.36707972560976,3.79699554878049
"plus4",3.04710126506626,0.753502832479046,-0.0109687949015354,4.50941323656597,2.25226445121951,2.68518201219512,3.05081432926829,3.42182987804878,3.85906804878049
