"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.810545868588276,0.840625353317669,0.269678647809889,0.739219738912213,1.17919545784481,0.5,0.546875,0.625
"CPI",0.74055021779525,0.35950905884204,0.602289570449273,0.805250828225149,0.991648755284166,0.859375,0.875,0.890625
"SD",0.146409822986443,0.40794744938008,-0.0756099456160617,0.171840787982175,0.422638520795181,0.28125,0.390625,0.46875
"Skew",0.438168560400508,0.478174619262378,0.087518754097116,0.304876091920304,0.654754558740973,0.15625,0.3125,0.359375
"Kurtosis",-0.0152382701631459,0.516162116393486,-0.282043097094352,0.00687936661808446,0.240473896599606,0.03125,0.140625,0.140625
"UNEMP",-0.0429976475481041,0.0600268621461929,-0.0898869688174975,-0.0396497362418714,-0.00508089749241295,0.1875,0.34375,0.421875
"F-test",NA,NA,NA,NA,NA,0.328125,0.5,0.59375
"Adj_R2",0.460311045234037,0.274603740606577,0.248454019763121,0.476908634148051,0.659368209085722,NA,NA,NA
"No_Obs",197.453125,74.2443263157486,132,180,253,NA,NA,NA
