"","Score1","Score2","Score3"
"Mean",0.318315071215706,0.0969200744097911,-0.315191088815742
"Median",0.345740953784611,0.0213346603572467,-0.320577389167045
"SD",0.935088740405365,-0.00467129701499271,-0.0488668526056353
"IQR",0.82821804403708,0.0650738329110228,-0.477193305581297
"Skewness",-0.286171214590391,0.798811870057984,-0.0601882271296466
"Kurtosis",0.296215650592815,-0.0644745875257096,0.59690038550293
"Oil_Price",0.28004667108252,0.0703334140210943,0.301452757118623
"Labour_Cost",-0.182227724960615,0.0837584975293238,0.360254972118217
