"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.691476574620785,0.911362700876168,0.139593935726384,0.702395115589387,1.17207665315721,0.234375,0.40625,0.453125
"CPI",0.894754792344936,0.333454655513835,0.719940899498234,0.913139850051591,1.09096983525218,0.921875,0.921875,0.9375
"Score_1",0.0663158117013602,0.621201088915522,-0.324780178474288,0.190309114829392,0.414725453162149,0.171875,0.375,0.4375
"Score_2",0.496689220154059,0.614410670962211,0.0917422929754115,0.410245712558091,0.848355973532051,0.03125,0.1875,0.25
"Score_3",-0.165485039498049,0.639324643576564,-0.451027595119251,-0.0974347481728702,0.212895679955709,0.03125,0.046875,0.125
"UNEMP",-0.0786285897099536,0.086608460311267,-0.105332325182197,-0.059636159087799,-0.0181809757021736,0.203125,0.359375,0.40625
"F-test",NA,NA,NA,NA,NA,0.125,0.296875,0.453125
"Adj_R2",0.482148528348838,0.259237316904529,0.289923096575568,0.502247628927164,0.648655243073325,NA,NA,NA
"No_Obs",131.625,45.1194182671043,105.25,128,168.75,NA,NA,NA
