"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.964302245393798,0.806712627665093,0.389459484861747,0.794435859186479,1.38934127785006,0.40625,0.625,0.640625
"CPI",0.632876966531406,0.308054830609087,0.455382799599925,0.725080356217916,0.864914885225409,0.8125,0.84375,0.875
"Score_1",-0.0541412323986039,0.361192722557926,-0.1942376114766,-0.00276828447509438,0.180544297115494,0.046875,0.15625,0.21875
"Score_2",0.211282905765029,0.587529021462821,-0.0594682653155733,0.151098504724731,0.350043013897695,0.03125,0.078125,0.109375
"Score_3",0.169578191167827,0.688754311974784,-0.194084607950357,0.145753735389251,0.458305373849562,0,0.015625,0.078125
"UNEMP",-0.0323562135780178,0.110759441772197,-0.0640808724712077,-0.039021850320278,-0.00375378860505315,0.0625,0.1875,0.328125
"F-test",NA,NA,NA,NA,NA,0.015625,0.09375,0.125
"Adj_R2",0.429723799015335,0.249089227534458,0.27159122143789,0.42752070791735,0.587033562188513,NA,NA,NA
"No_Obs",111.84375,50.5327863866619,78.75,100,141,NA,NA,NA
