"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.333597324951469,0.60452323367175,-0.0891007788606815,0.331280163078552,0.703215060917976,0.453125,0.609375,0.6875
"CPI",0.832650197241775,0.298022318812438,0.695363157185087,0.883720793821783,1.01643344119717,0.953125,0.96875,0.984375
"Score_1",-0.0599838834111323,0.40978911747516,-0.205574004236146,0.0239717596754134,0.169568715083363,0.234375,0.34375,0.390625
"Score_2",0.390422985621338,0.464582264496804,0.0440537592354371,0.313647157436496,0.550361183706974,0.125,0.1875,0.296875
"Score_3",0.0105631656340529,0.469915947645803,-0.165204888178336,-0.0109090793288694,0.278419631959674,0.03125,0.09375,0.125
"FD_UNEMP",-0.0818869636453796,0.142905670551676,-0.168888142220943,-0.0623472956615178,-8.29956914227461e-05,0.296875,0.453125,0.453125
"F-test",NA,NA,NA,NA,NA,0.203125,0.359375,0.453125
"Adj_R2",0.468164391578882,0.247118762229794,0.275041733368199,0.467680889327449,0.608948165324944,NA,NA,NA
"No_Obs",241.640625,89.5559357329262,161.5,220.5,304.75,NA,NA,NA
