"","Mean","SD","Skewness","Kurtosis","10% Q","25% Q","50% Q","75% Q","90% Q"
"plus0",6.21740352244388,0.141959321982878,0.210897198216646,3.92486678906077,6.06412420731707,6.14167271341463,6.21228963414634,6.29377987804878,6.37573378048781
"plus1",6.17950711572394,0.22559775289895,0.0879323707027319,3.3883792435173,5.92392969512195,6.05081265243902,6.17535609756098,6.29724984756098,6.44614
"plus2",6.12491710819368,0.286994435299005,0.0663133323498458,3.4696072473996,5.80115280487805,5.94742667682927,6.12279298780488,6.28292759146341,6.46278786585366
"plus3",6.06674910857219,0.337584967095479,0.0841316067859763,3.54869651112631,5.68978615853659,5.8650118902439,6.06185274390244,6.25419451219512,6.4638137195122
"plus4",6.00919312458204,0.383357270132086,0.11206536937748,3.59854745866078,5.5849606097561,5.78074039634146,6.00047042682927,6.22452743902439,6.45625646341463
