"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.348803488642416,0.478823871517623,0.0719153420042179,0.322251983629195,0.63184376996231,0.344827586206897,0.431034482758621,0.5
"CPI",0.752004395628055,0.282273887944161,0.575686699398873,0.785086560933663,0.949317903148639,0.931034482758621,0.948275862068966,0.982758620689655
"Score_1",0.0353518861734752,0.494282713367193,-0.191717146618482,0.110062225504833,0.316577977174757,0.275862068965517,0.379310344827586,0.482758620689655
"Score_2",0.344062229949727,0.439211684193546,0.0966258447590561,0.257763572195533,0.562534534660508,0.0344827586206897,0.172413793103448,0.275862068965517
"Score_3",0.038631637643776,0.431133591062381,-0.126794220806455,0.0635233799768192,0.273822502688791,0.0344827586206897,0.155172413793103,0.189655172413793
"UNEMP",-0.0742086554064901,0.0713118161785543,-0.11924868993961,-0.0691599739081795,-0.0250428401172407,0.362068965517241,0.448275862068966,0.568965517241379
"F-test",NA,NA,NA,NA,NA,0.275862068965517,0.396551724137931,0.5
"Adj_R2",0.386641091029686,0.239817853652569,0.200493100334636,0.351098821356053,0.482397383203853,NA,NA,NA
"No_Obs",232.862068965517,84.005941367965,161,212,285.75,NA,NA,NA
