"","Score1","Score2","Score3"
"Mean",0.0797624720540402,0.146647398211839,-0.325711084314772
"Median",0.090023833976068,0.0590506865692019,-0.332655283838313
"SD",0.963247237617205,0.086026938173805,0.0107649400764634
"IQR",0.784688204405221,0.1206225723832,-0.487872751131274
"Skewness",-0.258770719465011,0.857263088002625,-0.0526643168240738
"Kurtosis",0.377597940572107,-0.0462121540592171,0.745571175830968
"Oil_Price",0.34571235927945,0.0559130595830718,0.301516009606668
"Labour_Cost",-0.103475472681103,0.0474110260110766,0.369352383542808
