"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",1.15007161420377,0.909754276518269,0.520496510402319,0.985277720574256,1.79065551216159,0.5625,0.640625,0.734375
"CPI",0.750621628765212,0.309901442308863,0.584128185107845,0.824772116136536,0.943375816573207,0.859375,0.921875,0.921875
"Score_1",0.343662010261195,0.390920463215039,0.113636379991763,0.361036290636874,0.596321866937094,0.328125,0.515625,0.59375
"Score_2",0.258690239794096,0.552873664455927,-0.0247184979258843,0.148146381174488,0.460037033273382,0.03125,0.09375,0.15625
"Score_3",-0.294590680083381,0.631595902457492,-0.537279746646573,-0.228969418788335,-0.0416565908668175,0.09375,0.171875,0.203125
"UNEMP",-0.0841981421012884,0.0704158640368839,-0.131785989976247,-0.075023810431393,-0.0313771396768056,0.28125,0.421875,0.484375
"F-test",NA,NA,NA,NA,NA,0.328125,0.46875,0.5625
"Adj_R2",0.492278426920883,0.263879989688289,0.265378447783962,0.505512147201694,0.718548588647051,NA,NA,NA
"No_Obs",167.625,68.9042353617951,108,156,219,NA,NA,NA
