"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.267316049048587,1.54161029559375,-0.382641834306812,0.031288861801226,1.19972220206803,0.203125,0.265625,0.390625
"CPI",0.774858058927772,0.584013083278997,0.460565457900355,0.794157295618497,1.10873645065772,0.671875,0.734375,0.8125
"Score_1",-0.538118383005338,1.11804354714747,-1.14753758406321,-0.539403776585053,-0.0259044620054072,0.296875,0.359375,0.515625
"Score_2",0.529308488656369,1.11443533718194,-0.076978412071389,0.32811333822573,0.815260035386809,0.09375,0.125,0.1875
"Score_3",0.884301436887145,2.3803372963161,0.0802030768478227,0.469128121978879,0.905499087880709,0.03125,0.09375,0.109375
"UNEMP",-0.0112929403551663,0.163027092807233,-0.0847916075477186,-0.0133453841644481,0.0729570762009908,0.15625,0.28125,0.3125
"F-test",NA,NA,NA,NA,NA,0.234375,0.359375,0.421875
"Adj_R2",0.411883036063107,0.235309303773083,0.259004712311002,0.381427748179181,0.553110415512924,NA,NA,NA
"No_Obs",75.84375,35.0329635021936,52,78,98.5,NA,NA,NA
