"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.658116574166024,0.92290034685678,-0.0563801181643195,0.465005703709936,1.28249727657446,0.359375,0.453125,0.59375
"CPI",0.735310985425039,0.353409857047818,0.604699936664572,0.811623935723322,0.985795437939742,0.859375,0.890625,0.890625
"SD",0.299186334399702,0.627602510639826,-0.102465250150947,0.269784815000226,0.753161439729553,0.3125,0.46875,0.5
"Skew",0.0494713636133612,0.0779502051921992,0.00752629358850777,0.0297076942760584,0.0933374658372652,0.0625,0.140625,0.21875
"Kurtosis",-0.00458767082133626,0.0295496522826709,-0.0167312901719097,-0.00504621985670246,0.00966689432190517,0.015625,0.0625,0.140625
"UNEMP",-0.0457863962893646,0.05900791303569,-0.0865740343209108,-0.0498302386286465,-0.0116150396070306,0.203125,0.34375,0.40625
"F-test",NA,NA,NA,NA,NA,0.28125,0.46875,0.5
"Adj_R2",0.458635587030674,0.277289529068274,0.241529187854707,0.48223699189852,0.671258943481949,NA,NA,NA
"No_Obs",197.453125,74.2443263157486,132,180,253,NA,NA,NA
