"","rej_1","rej_5","rej_10"
"FPCR encompasses the moments-based model",0.0625,0.25,0.328125
"The moments-based model encompasses FPCR",0.265625,0.421875,0.421875
"Both models encompass each other",0.015625,0.015625,0.0625
"Both models do not encompass each other",0.65625,0.3125,0.1875
