"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",1.71001983718118,3.28925467570414,-0.0281151916723782,1.01025325953323,2.15364436432999,0.15625,0.3125,0.390625
"CPI",0.822319376238662,0.62392246260306,0.527647635592938,0.930293626155213,1.14099883709624,0.625,0.703125,0.78125
"SD",-0.302035669410431,1.81836277317222,-0.996535159856903,-0.15204709320293,0.616297516500215,0.0625,0.25,0.40625
"Skew",0.0598972684138292,0.291698701428929,-0.0637562369794279,0.084361421277755,0.199387716079075,0,0.0625,0.109375
"Kurtosis",0.00675747947105986,0.168398949127381,-0.0143193943234208,0.0403805393295015,0.0904675612564032,0.0625,0.125,0.15625
"UNEMP",-0.183504749508534,0.410380386345771,-0.209963309295815,-0.107257947783294,-0.0208391907527001,0.203125,0.34375,0.375
"F-test",NA,NA,NA,NA,NA,0.03125,0.140625,0.265625
"Adj_R2",0.491253771724222,0.2523741906916,0.299910397898735,0.460977075368008,0.706239420060512,NA,NA,NA
"No_Obs",46.015625,18.5219665275483,35,48,60,NA,NA,NA
