"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",1.60703734634833,3.34574033378637,-0.000344099498082395,0.9237458465292,2.16962888056516,0.171875,0.296875,0.359375
"CPI",0.81445352511676,0.598305088098487,0.53105608471862,0.892008411302426,1.1580486087306,0.65625,0.734375,0.8125
"SD",-0.221972467740997,1.31079601128375,-0.587277598406005,-0.0365543566296821,0.51135538518016,0.03125,0.203125,0.328125
"Skew",-0.0207572524677627,1.10907126045781,-0.591971965200957,-0.00961446711709596,0.684417135571913,0,0.0625,0.109375
"Kurtosis",0.838215433212053,1.5949063579357,-0.0470806091265504,0.909348923877863,1.86151456596202,0.015625,0.078125,0.140625
"UNEMP",-0.188333430732177,0.440898777146997,-0.242470964558702,-0.0932459407010277,-0.0126039910524016,0.21875,0.34375,0.453125
"F-test",NA,NA,NA,NA,NA,0.03125,0.125,0.140625
"Adj_R2",0.47749866503786,0.265955126982224,0.280028720280448,0.462021649064881,0.691756636859593,NA,NA,NA
"No_Obs",46.015625,18.5219665275483,35,48,60,NA,NA,NA
